accession,description,length,raw Ns,raw Ns %,masked Ns,masked Ns %,vsl-25 Ns,vsl-25 Ns %,masked vsl-25 Ns,masked vsl-25 Ns %,RM vsl-25 missed Ns,RM vsl-25 missed Ns %
NC_022869.1,Onychostoma rara mitochondrion  complete genome,16590,0,0,327,1.97,1058,6.37,1336,8.05,1009,6.08
NC_022870.1,Babina holsti mitochondrial DNA  complete genome,19113,0,0,150,.78,960,5.02,1110,5.80,960,5.02
NC_022871.1,Babina subaspera mitochondrial DNA  complete genome,18525,0,0,125,.67,986,5.32,1037,5.59,912,4.92
NC_022872.1,Babina okinavana mitochondrial DNA  complete genome,19959,0,0,605,3.03,2305,11.54,2786,13.95,2181,10.92
NC_022892.1,Human papillomavirus type 167 isolate KC10  complete genome,7228,0,0,0,0,0,0,0,0,0,0
NC_022894.1,Donkey orchid symptomless virus isolate Mariginiup11  complete genome,7838,0,0,0,0,0,0,0,0,0,0
NC_022895.1,Yam spherical virus culture-collection DSMZ:PV-0517  complete genome,4464,0,0,0,0,0,0,0,0,0,0
NC_022896.1,Sclerotinia sclerotiorum hypovirus 2 isolate 5472  complete genome,14581,0,0,63,.43,104,.71,63,.43,0,0
NC_022897.1,Penaeus monodon circovirus VN11  complete genome,1777,0,0,0,0,0,0,0,0,0,0
NC_022914.1,Staphylococcus phage phiRS7  complete genome,43394,0,0,121,.27,0,0,121,.27,0,0
NC_022915.1,Ralstonia phage RSK1 DNA  complete genome,40471,0,0,231,.57,0,0,231,.57,0,0
NC_022916.1,Burkholderia phage JG068  complete genome,41604,0,0,200,.48,0,0,200,.48,0,0
NC_022917.1,Ralstonia phage RSB3 DNA  complete genome,44578,0,0,123,.27,0,0,123,.27,0,0
NC_022918.1,Staphylococcus phage S25-4 DNA  complete genome,132123,0,0,1309,.99,245,.18,1407,1.06,98,.07
NC_022920.1,Staphylococcus phage S25-3 DNA  complete genome,139738,0,0,1471,1.05,294,.21,1667,1.19,196,.14
NC_022921.1,Pallisentis celatus mitochondrion  complete genome,13855,0,0,222,1.60,74,.53,296,2.13,74,.53
NC_022922.1,Corythucha ciliata mitochondrion  complete genome,15257,0,0,1204,7.89,294,1.92,1400,9.17,196,1.28
NC_022923.1,Liobagrus marginatus mitochondrion  complete genome,16497,0,0,209,1.26,838,5.07,1047,6.34,838,5.07
NC_022924.1,Meretrix lyrata mitochondrion  complete genome,21625,0,0,747,3.45,320,1.47,845,3.90,98,.45
NC_022925.1,Thymallus grubii mitochondrion  complete genome,16662,0,0,184,1.10,912,5.47,1096,6.57,912,5.47
NC_022926.1,Musa textilis plastid  complete genome,161347,0,0,6579,4.07,1818,1.12,7218,4.47,639,.39
NC_022927.1,Ravenala madagascariensis plastid  complete genome,166170,0,0,7109,4.27,2116,1.27,7897,4.75,788,.47
NC_022928.1,Curcuma roscoeana plastid  complete genome,159512,0,0,6436,4.03,2487,1.55,7494,4.69,1058,.66
NC_022929.1,Hemiculter leucisculus mitochondrion  complete genome,16617,0,0,326,1.96,1009,6.07,1237,7.44,911,5.48
NC_022930.1,Romanogobio tenuicorpus mitochondrion  complete genome,16600,0,0,414,2.49,1083,6.52,1497,9.01,1083,6.52
NC_022931.1,Gobiobotia intermedia mitochondrion  complete genome,16608,0,0,380,2.28,813,4.89,1193,7.18,813,4.89
NC_022932.1,Caranx ignobilis mitochondrion  complete genome,16588,0,0,233,1.40,910,5.48,1094,6.59,861,5.19
NC_022933.1,Ganoderma sinense mitochondrion  complete genome,86451,0,0,2657,3.07,835,.96,3098,3.58,441,.51
NC_022934.1,Sarcocheilichthys lacustris mitochondrion  complete genome,16683,0,0,191,1.14,886,5.31,1077,6.45,886,5.31
NC_022935.1,Diabrotica barberi mitochondrion  complete genome,16366,0,0,975,5.95,958,5.85,1564,9.55,589,3.59
NC_022936.1,Cherax cainii mitochondrion  complete genome,15801,0,0,233,1.47,198,1.25,431,2.72,198,1.25
NC_022937.1,Cherax quadricarinatus mitochondrion  complete genome,15869,0,0,107,.67,147,.92,205,1.29,98,.61
NC_022938.1,Cherax monticola mitochondrion  complete genome,15917,0,0,88,.55,147,.92,235,1.47,147,.92
NC_022939.1,Cherax glaber mitochondrion  complete genome,15806,0,0,164,1.03,319,2.01,483,3.05,319,2.01
NC_022940.1,Monotrete leiurus mitochondrion  complete genome,16448,0,0,490,2.97,1132,6.88,1622,9.86,1132,6.88
NC_022941.1,Garra rufa mitochondrial DNA  complete genome,16763,0,0,435,2.59,567,3.38,1002,5.97,567,3.38
NC_022942.1,Labeo chrysophekadion mitochondrial DNA  complete genome,16602,0,0,403,2.42,1082,6.51,1411,8.49,1008,6.07
NC_022943.1,Labeo pierrei mitochondrial DNA  complete genome,16766,0,0,366,2.18,1133,6.75,1400,8.35,1034,6.16
NC_022944.1,Garra spilota mitochondrial DNA  complete genome,16822,0,0,391,2.32,1083,6.43,1400,8.32,1009,5.99
NC_022945.1,Labeo angra mitochondrial DNA  complete genome,16606,0,0,285,1.71,1207,7.26,1418,8.53,1133,6.82
NC_022946.1,Osteochilus nashii mitochondrial DNA  complete genome,16605,0,0,488,2.93,1207,7.26,1621,9.76,1133,6.82
NC_022947.1,Labiobarbus ocellatus mitochondrial DNA  complete genome,16596,0,0,386,2.32,1184,7.13,1496,9.01,1110,6.68
NC_022948.1,Schismatorhynchos nukta mitochondrial DNA  complete genome,16606,0,0,209,1.25,936,5.63,1096,6.60,887,5.34
NC_022949.1,Labeo cyclorhynchus mitochondrial DNA  complete genome,16610,0,0,325,1.95,1180,7.10,1431,8.61,1106,6.65
NC_022950.1,Henicorhynchus lineatus mitochondrial DNA  complete genome,16825,0,0,270,1.60,1133,6.73,1403,8.33,1133,6.73
NC_022951.1,Osteochilus schlegelii mitochondrial DNA  complete genome,16575,0,0,310,1.87,1306,7.87,1542,9.30,1232,7.43
NC_022952.1,Thynnichthys polylepis mitochondrial DNA  complete genome,16599,0,0,458,2.75,1478,8.90,1836,11.06,1378,8.30
NC_022953.1,Garra flavatra mitochondrial DNA  complete genome,16743,0,0,122,.72,1230,7.34,1278,7.63,1156,6.90
NC_022954.1,Labiobarbus leptocheilus mitochondrial DNA  complete genome,16593,0,0,467,2.81,984,5.93,1353,8.15,886,5.33
NC_022955.1,Labiobarbus lineatus mitochondrial DNA  complete genome,16598,0,0,385,2.31,1480,8.91,1791,10.79,1406,8.47
NC_022956.1,Labeo lineatus mitochondrial DNA  complete genome,16606,0,0,516,3.10,1107,6.66,1549,9.32,1033,6.22
NC_022958.1,Phragmites australis chloroplast  complete genome,137561,0,0,4760,3.46,441,.32,4907,3.56,147,.10
NC_022959.1,Sepia aculeata mitochondrion  complete genome,16219,0,0,669,4.12,239,1.47,865,5.33,196,1.20
NC_022960.1,Campylomormyrus compressirostris isolate Cam com-y mitochondrion  complete genome,16715,0,0,284,1.69,1156,6.91,1440,8.61,1156,6.91
NC_022961.1,Garlic virus D isolate GarVD-SW10  complete genome,8424,0,0,72,.85,0,0,72,.85,0,0
NC_022962.1,Olive viral satellite RNA isolate Caltabellotta1 from Italy  complete genome,1118,0,0,0,0,0,0,0,0,0,0
NC_022965.1,Mycobacterium phage CloudWang3  complete genome,52873,0,0,218,.41,0,0,218,.41,0,0
NC_022966.1,Pseudomonas phage PAK P5  complete genome,88135,0,0,274,.31,49,.05,323,.36,49,.05
NC_022967.1,Pseudomonas phage PAK P2  complete genome,92495,0,0,261,.28,0,0,261,.28,0,0
NC_022968.1,Escherichia phage 4MG  complete genome,148567,0,0,672,.45,0,0,672,.45,0,0
NC_022969.1,Mycobacterium phage PhatBacter  complete genome,76217,0,0,623,.81,0,0,623,.81,0,0
NC_022970.1,Pseudomonas phage PAK P3  complete genome,88097,0,0,266,.30,49,.05,315,.35,49,.05
NC_022971.1,Pseudomonas phage phiIBB-PAA2  complete genome,45344,0,0,153,.33,0,0,153,.33,0,0
NC_022972.2,Arthrobacter phage vB ArS-ArV2  complete genome,37372,0,0,23,.06,0,0,23,.06,0,0
NC_022973.1,Mycobacterium phage Conspiracy  complete genome,50755,0,0,446,.87,0,0,446,.87,0,0
NC_022974.1,Pseudomonas phage CHA P1  complete genome,88255,0,0,328,.37,49,.05,377,.42,49,.05
NC_022975.1,Mycobacterium phage HanShotFirst  complete genome,52390,0,0,171,.32,0,0,171,.32,0,0
NC_022976.1,Mycobacterium phage Nala  complete genome,75894,0,0,666,.87,0,0,666,.87,0,0
NC_022977.1,Mycobacterium phage Artemis2UCLA  complete genome,52344,0,0,346,.66,49,.09,346,.66,0,0
NC_022978.1,Carnation yellow fleck virus  complete genome,15602,0,0,0,0,49,.31,0,0,0,0
NC_022979.1,Mycobacterium phage Graduation  complete genome,52823,0,0,343,.64,0,0,343,.64,0,0
NC_022980.1,Brevibacillus phage Davies  complete genome,45798,0,0,53,.11,4,0,53,.11,0,0
NC_022981.1,Mycobacterium phage HufflyPuff  complete genome,76323,0,0,650,.85,0,0,650,.85,0,0
NC_022982.1,Xylella phage Paz  complete genome,43869,0,0,241,.54,0,0,241,.54,0,0
NC_022983.1,Mycobacterium phage Bernardo  complete genome,68196,0,0,588,.86,49,.07,588,.86,0,0
NC_022984.1,Mycobacterium phage Jovo  complete genome,51319,0,0,478,.93,0,0,478,.93,0,0
NC_022985.1,Mycobacterium phage Zaka  complete genome,52122,0,0,304,.58,0,0,304,.58,0,0
NC_022986.1,Pseudomonas phage PAK P4  complete genome,93147,0,0,361,.38,0,0,361,.38,0,0
NC_022987.1,Xylella phage Prado  complete genome,43940,0,0,237,.53,0,0,237,.53,0,0
NC_022988.1,Mycobacterium phage Bruin  complete genome,74210,0,0,571,.76,0,0,571,.76,0,0
NC_022989.1,Lactobacillus phage LL-Ku  complete genome,31080,0,0,129,.41,49,.15,129,.41,0,0
NC_022990.1,Zamilon virophage complete genome,17276,0,0,526,3.04,147,.85,624,3.61,98,.56
NC_023007.1,Bacillus phage vB BanS-Tsamsa  complete genome,168876,0,0,958,.56,370,.21,1328,.78,370,.21
NC_023008.1,Butcherbird polyomavirus isolate AWH19840  complete genome,5084,0,0,0,0,0,0,0,0,0,0
NC_023009.1,Staphylococcus phage Sb-1  complete genome,127188,0,0,2192,1.72,699,.54,2339,1.83,147,.11
NC_023014.1,Bidens mosaic virus isolate SP01  complete genome,9557,0,0,0,0,49,.51,0,0,0,0
NC_023015.1,Hedyotis uncinella yellow mosaic betasatellite isolate VN1  complete genome,1348,0,0,112,8.30,98,7.27,112,8.30,0,0
NC_023020.1,Porcine parvovirus 5 isolate IA469 clone 1  complete genome,5805,0,0,25,.43,0,0,25,.43,0,0
NC_023021.1,Formica exsecta virus 1 isolate Fex1  complete genome,9554,0,0,41,.42,53,.55,41,.42,0,0
NC_023022.1,Formica exsecta virus 2 isolate Fex2  complete genome,9160,0,0,86,.93,34,.37,86,.93,0,0
NC_023023.1,Spinach yellow vein Sikar virus clone AS22  complete genome,2753,0,0,23,.83,0,0,23,.83,0,0
NC_023030.2,Mycoplasma gallisepticum S6  complete genome,985433,0,0,12528,1.27,4621,.46,14268,1.44,1740,.17
NC_023077.1,Gelidium vagum mitochondrion  complete genome,24901,0,0,1059,4.25,124,.49,1182,4.74,123,.49
NC_023080.1,Babylonia areolata mitochondrion  complete genome,15445,0,0,91,.58,394,2.55,411,2.66,320,2.07
NC_023083.1,Apolygus lucorum mitochondrion  complete genome,14768,0,0,382,2.58,614,4.15,848,5.74,466,3.15
NC_023084.1,Camellia oleifera plastid  complete genome,156971,0,0,5441,3.46,1571,1.00,5931,3.77,490,.31
NC_023085.1,Sedum sarmentosum chloroplast  complete genome,150448,0,0,4931,3.27,441,.29,5176,3.44,245,.16
NC_023086.1,Penthorum chinense chloroplast  complete genome,156686,0,0,5038,3.21,1055,.67,5406,3.45,368,.23
NC_023087.1,Lycaena phlaeas mitochondrion  complete genome,15280,0,0,970,6.34,1231,8.05,1750,11.45,780,5.10
NC_023088.1,Curetis bulis mitochondrion  complete genome,15162,0,0,965,6.36,1401,9.24,1991,13.13,1026,6.76
NC_023089.1,Petaurista hainana mitochondrion  complete genome,16502,0,0,284,1.72,3507,21.25,3641,22.06,3357,20.34
NC_023090.1,Lupinus luteus chloroplast  complete genome,151894,0,0,6068,3.99,1574,1.03,6755,4.44,687,.45
NC_023091.1,Polytomella magna mitochondrion  complete genome,24370,0,0,1123,4.60,491,2.01,1270,5.21,147,.60
NC_023092.1,Liquidambar formosana chloroplast  complete genome,160410,0,0,5717,3.56,1349,.84,6158,3.83,441,.27
NC_023093.1,Leptomyrmex pallens mitochondrion  complete genome,15591,0,0,662,4.24,147,.94,711,4.56,49,.31
NC_023094.1,Grateloupia angusta mitochondrion  complete genome,27943,0,0,994,3.55,147,.52,1141,4.08,147,.52
NC_023095.1,Paramphistomum cervi mitochondrion  complete genome,14014,0,0,486,3.46,98,.69,584,4.16,98,.69
NC_023096.1,Aegilops cylindrica chloroplast  complete genome,113490,0,0,3307,2.91,417,.36,3503,3.08,196,.17
NC_023097.1,Aegilops geniculata chloroplast  complete genome,113893,0,0,3503,3.07,564,.49,3895,3.41,392,.34
NC_023098.1,Hypodontus macropi voucher SAM 46024 mitochondrion  complete genome,13634,0,0,451,3.30,196,1.43,549,4.02,98,.71
NC_023099.1,Macropicola ocydromi mitochondrion  complete genome,13659,0,0,667,4.88,196,1.43,814,5.95,147,1.07
NC_023100.1,Homo heidelbergensis mitochondrion  complete genome,16568,0,0,675,4.07,16347,98.66,16295,98.35,15620,94.27
NC_023101.1,Acanthorhodeus chankaensis mitochondrion  complete genome,16774,0,0,380,2.26,960,5.72,1242,7.40,862,5.13
NC_023102.1,Ajuga reptans plastid  complete genome,149963,0,0,4536,3.02,294,.19,4585,3.05,49,.03
NC_023103.1,Ajuga reptans mitochondrion  complete genome,352069,0,0,2876,.81,294,.08,2974,.84,98,.02
NC_023104.1,Eulimnogammarus verrucosus mitochondrion  complete genome,15315,0,0,387,2.52,186,1.21,475,3.10,88,.57
NC_023105.1,Zacco platypus mitochondrion  complete genome,16611,0,0,324,1.95,936,5.63,1211,7.29,887,5.33
NC_023106.1,Mystacoleucus marginatus mitochondrion  complete genome,16611,0,0,424,2.55,1134,6.82,1459,8.78,1035,6.23
NC_023107.1,Helianthus giganteus isolate DB01 plastid  complete genome,151066,0,0,5775,3.82,1280,.84,6063,4.01,288,.19
NC_023108.1,Helianthus grosseserratus isolate DB05 plastid  complete genome,151017,0,0,5589,3.70,1280,.84,5834,3.86,245,.16
NC_023109.1,Helianthus divaricatus isolate DB07 plastid  complete genome,151045,0,0,5726,3.79,1207,.79,5922,3.92,196,.12
NC_023110.1,Helianthus decapetalus isolate DB11 plastid  complete genome,151048,0,0,5754,3.80,1329,.87,6067,4.01,313,.20
NC_023111.1,Helianthus hirsutus isolate DB14 plastid  complete genome,151045,0,0,5687,3.76,1181,.78,5955,3.94,268,.17
NC_023112.1,Helianthus tuberosus isolate DB16 plastid  complete genome,151047,0,0,5713,3.78,1230,.81,6002,3.97,289,.19
NC_023113.1,Helianthus strumosus isolate DB31 plastid  complete genome,151044,0,0,5725,3.79,1181,.78,5970,3.95,245,.16
NC_023114.1,Helianthus maximiliani isolate MAX01 plastid  complete genome,151007,0,0,5654,3.74,1255,.83,5942,3.93,288,.19
NC_023116.1,Potamotrygon motoro mitochondrion  complete genome,17448,0,0,410,2.34,1307,7.49,1668,9.55,1258,7.20
NC_023117.1,Annulohypoxylon stygium mitochondrion  complete genome,133782,0,0,3340,2.49,1625,1.21,4296,3.21,956,.71
NC_023118.1,Mythimna separata mitochondrion  complete genome,15332,0,0,1375,8.96,1133,7.38,1890,12.32,515,3.35
NC_023119.1,Agathis dammara chloroplast DNA  complete genome,145625,0,0,4222,2.89,1992,1.36,4664,3.20,442,.30
NC_023120.1,Nageia nagi chloroplast DNA  complete genome,133722,0,0,3072,2.29,859,.64,3219,2.40,147,.10
NC_023121.1,Calocedrus formosana chloroplast DNA  complete genome,127311,0,0,3723,2.92,909,.71,4066,3.19,343,.26
NC_023122.1,Pteropus alecto mitochondrion  complete genome,16739,0,0,815,4.86,3458,20.65,3926,23.45,3111,18.58
NC_023124.1,Marphysa sanguinea mitochondrion  complete genome,15159,0,0,91,.60,221,1.45,312,2.05,221,1.45
NC_023125.1,Rhynchosporium agropyri mitochondrion  complete genome,68904,0,0,1528,2.21,1057,1.53,2018,2.92,490,.71
NC_023126.1,Rhynchosporium commune mitochondrion  complete genome,69581,0,0,1322,1.89,1006,1.44,1910,2.74,588,.84
NC_023127.1,Rhynchosporium orthosporum mitochondrion  complete genome,49539,0,0,1959,3.95,1006,2.03,2572,5.19,613,1.23
NC_023128.1,Rhynchosporium secalis mitochondrion  complete genome,68729,0,0,1391,2.02,1057,1.53,1881,2.73,490,.71
NC_023131.1,Conopholis americana chloroplast complete genome,45673,0,0,3078,6.73,663,1.45,3397,7.43,319,.69
NC_023133.1,Porphyridium purpureum chloroplast  complete genome,217694,0,0,7044,3.23,1299,.59,8049,3.69,1005,.46
NC_023153.1,Citrus endogenous pararetrovirus clone CB16-3  complete genome,6996,0,0,33,.47,0,0,33,.47,0,0
NC_023162.1,Carp picornavirus 1 isolate F37 06  complete genome,7697,0,0,133,1.72,96,1.24,133,1.72,0,0
NC_023175.1,Zucchini tigre mosaic virus isolate Re01-25  complete genome,10346,0,0,211,2.03,74,.71,211,2.03,0,0
NC_023176.1,Porcine pestivirus isolate Bungowannah  complete genome,12656,0,0,0,0,49,.38,0,0,0,0
NC_023177.1,Choristoneura murinana alphabaculovirus strain Darmstadt  complete genome,124688,0,0,528,.42,319,.25,724,.58,196,.15
NC_023178.1,Castor canadensis papillomavirus type 1 isolate CcanPV1  complete genome,7435,0,0,38,.51,0,0,38,.51,0,0
NC_023208.1,Bursaphelenchus xylophilus mitochondrion  complete genome,14778,0,0,1086,7.34,2717,18.38,3083,20.86,1997,13.51
NC_023209.1,Salvia miltiorrhiza mitochondrion  complete genome,499236,0,0,4936,.98,564,.11,5230,1.04,294,.05
NC_023210.1,Mustela kathiah voucher YP6126 mitochondrion  complete genome,16552,0,0,721,4.35,3757,22.69,4130,24.95,3409,20.59
NC_023211.1,Saimiri oerstedii citrinellus mitochondrion  complete genome,16472,0,0,215,1.30,5420,32.90,5411,32.84,5196,31.54
NC_023212.1,Carposina sasakii mitochondrion  complete genome,15611,0,0,785,5.02,1847,11.83,2286,14.64,1501,9.61
NC_023213.1,Gossypium anomalum chloroplast  complete genome,159507,0,0,6195,3.88,1574,.98,7204,4.51,1009,.63
NC_023214.1,Gossypium bickii chloroplast  complete genome,159422,0,0,5829,3.65,1328,.83,6617,4.15,788,.49
NC_023215.1,Gossypium herbaceum chloroplast  complete genome,160140,0,0,6273,3.91,1327,.82,7257,4.53,984,.61
NC_023216.1,Gossypium longicalyx chloroplast  complete genome,160241,0,0,6293,3.92,1523,.95,7005,4.37,712,.44
NC_023217.1,Gossypium stocksii chloroplast  complete genome,159039,0,0,5936,3.73,1303,.81,6648,4.18,712,.44
NC_023218.1,Gossypium sturtianum chloroplast  complete genome,159627,0,0,5898,3.69,1769,1.10,6659,4.17,761,.47
NC_023219.1,Leptobelus gazella mitochondrion  complete genome,16007,0,0,737,4.60,1111,6.94,1750,10.93,1013,6.32
NC_023221.1,Cyclemys tcheponensis mitochondrion  complete genome,16593,0,0,438,2.63,1227,7.39,1422,8.56,984,5.93
NC_023222.1,Hemibagrus spilopterus mitochondrion  complete genome,16521,0,0,258,1.56,1378,8.34,1636,9.90,1378,8.34
NC_023223.1,Mystus rhegma mitochondrion  complete genome,16525,0,0,181,1.09,1182,7.15,1363,8.24,1182,7.15
NC_023224.1,Cynoglossus sinicus mitochondrion  complete genome,16478,0,0,248,1.50,937,5.68,1185,7.19,937,5.68
NC_023225.1,Zebrias quagga mitochondrion  complete genome,17045,0,0,214,1.25,857,5.02,1071,6.28,857,5.02
NC_023226.1,Cynoglossus bilineatus mitochondrion  complete genome,16454,0,0,277,1.68,787,4.78,1015,6.16,738,4.48
NC_023227.1,Paraplagusia bilineata mitochondrion  complete genome,16985,0,0,43,.25,762,4.48,805,4.73,762,4.48
NC_023228.1,Paraplagusia blochii mitochondrion  complete genome,16611,0,0,97,.58,1233,7.42,1330,8.00,1233,7.42
NC_023229.1,Cynoglossus puncticeps mitochondrion  complete genome,17142,0,0,220,1.28,964,5.62,1184,6.90,964,5.62
NC_023231.1,Cyclocheilichthys enoplos mitochondrion  complete genome,16579,0,0,351,2.11,961,5.79,1312,7.91,961,5.79
NC_023232.1,Epiophlebia superstes mitochondrion  complete genome,15435,0,0,449,2.90,368,2.38,768,4.97,319,2.06
NC_023233.1,Vestalis melania mitochondrion  complete genome,16685,0,0,295,1.76,467,2.79,762,4.56,467,2.79
NC_023234.1,Magnolia cathcartii chloroplast  complete genome,159950,0,0,4261,2.66,735,.45,4555,2.84,294,.18
NC_023235.1,Magnolia dealbata chloroplast  complete genome,160002,0,0,4083,2.55,614,.38,4451,2.78,368,.22
NC_023236.1,Magnolia pyramidata chloroplast  complete genome,160025,0,0,4084,2.55,760,.47,4427,2.76,343,.21
NC_023237.1,Magnolia kobus chloroplast  complete genome,159443,0,0,4249,2.66,564,.35,4445,2.78,196,.12
NC_023238.1,Magnolia liliiflora chloroplast  complete genome,158177,0,0,3967,2.50,613,.38,4335,2.74,368,.23
NC_023239.1,Michelia odora chloroplast  complete genome,160070,0,0,4168,2.60,1005,.62,4707,2.94,539,.33
NC_023240.1,Magnolia salicifolia chloroplast  complete genome,160093,0,0,4248,2.65,834,.52,4591,2.86,343,.21
NC_023241.1,Magnolia sinica chloroplast  complete genome,160044,0,0,4163,2.60,834,.52,4457,2.78,294,.18
NC_023242.1,Magnolia sprengeri chloroplast  complete genome,160033,0,0,4259,2.66,515,.32,4406,2.75,147,.09
NC_023244.1,Uropsilus soricipes mitochondrion  complete genome,16575,0,0,603,3.63,3879,23.40,4084,24.63,3481,21.00
NC_023245.1,Pharus lappulaceus chloroplast  complete genome,141928,0,0,4904,3.45,564,.39,5002,3.52,98,.06
NC_023246.1,Cheirotonus jansoni mitochondrion  complete genome,17249,0,0,74,.42,441,2.55,466,2.70,392,2.27
NC_023247.1,Fritillaria taipaiensis chloroplast  complete genome,151693,0,0,6386,4.20,1792,1.18,6975,4.59,589,.38
NC_023248.1,Jaminaea angkorensis mitochondrion  complete genome,29999,0,0,932,3.10,98,.32,981,3.27,49,.16
NC_023249.1,Metagonimus yokogawai mitochondrion  complete genome,15258,0,0,267,1.74,98,.64,316,2.07,49,.32
NC_023250.1,Solenaia carinatus haplotype female mitochondrion  complete genome,16716,0,0,85,.50,49,.29,134,.80,49,.29
NC_023251.1,Gracilariopsis chorda mitochondrion  complete genome,26534,0,0,1428,5.38,294,1.10,1575,5.93,147,.55
NC_023252.1,Rhodymenia pseudopalmata mitochondrion  complete genome,26166,0,0,1024,3.91,294,1.12,1269,4.84,245,.93
NC_023253.1,Physella acuta isolate A mitochondrion  complete genome,14490,0,0,73,.50,98,.67,171,1.18,98,.67
NC_023254.1,Ophiacantha linea mitochondrion  complete genome,15845,0,0,292,1.84,172,1.08,464,2.92,172,1.08
NC_023255.1,Nacospatangus alta mitochondrion  complete genome,15763,0,0,48,.30,345,2.18,344,2.18,296,1.87
NC_023256.1,Melianthus villosus plastid  complete genome,156510,0,0,5191,3.31,809,.51,5436,3.47,245,.15
NC_023257.1,Cistopus taiwanicus mitochondrion  complete genome,15793,0,0,1377,8.71,861,5.45,1770,11.20,393,2.48
NC_023258.1,Pampus echinogaster mitochondrion  complete genome,17694,0,0,239,1.35,1229,6.94,1468,8.29,1229,6.94
NC_023259.1,Viviania marifolia chloroplast  complete genome,157291,0,0,5661,3.59,1030,.65,6078,3.86,417,.26
NC_023260.1,Hypseocharis bilobata chloroplast  complete genome,165002,0,0,6327,3.83,1427,.86,6868,4.16,541,.32
NC_023261.1,Pelargonium alternans chloroplast  complete genome,173374,0,0,5029,2.90,1325,.76,5372,3.09,343,.19
NC_023262.1,Protostrongylus rufescens mitochondrion  complete genome,13619,0,0,461,3.38,196,1.43,559,4.10,98,.71
NC_023263.1,Meriones unguiculatus mitochondrion  complete genome,16351,0,0,423,2.58,2417,14.78,2692,16.46,2269,13.87
NC_023264.1,Polyplectron germaini mitochondrion  complete genome,16699,0,0,174,1.04,715,4.28,815,4.88,641,3.83
NC_023265.1,Sebastes koreanus mitochondrion  complete genome,16499,0,0,228,1.38,911,5.52,1139,6.90,911,5.52
NC_023266.1,Cetorhinus maximus mitochondrion  complete genome,16670,0,0,212,1.27,1033,6.19,1245,7.46,1033,6.19
NC_023267.1,Plesiomyzon baotingensis mitochondrion  complete genome,16541,0,0,266,1.60,1010,6.10,1276,7.71,1010,6.10
NC_023268.1,Acremonium chrysogenum mitochondrion  complete genome,27266,0,0,1155,4.23,432,1.58,1400,5.13,245,.89
NC_023269.1,Esox reichertii mitochondrion  complete genome,16909,0,0,630,3.72,1162,6.87,1418,8.38,788,4.66
NC_023272.1,Polypterus palmas buettikoferi voucher NTNU LSP056 mitochondrion  complete genome,16624,0,0,282,1.69,860,5.17,1093,6.57,811,4.87
NC_023273.1,Bathycoccus prasinos mitochondrion  complete genome,43614,0,0,2411,5.52,98,.22,2509,5.75,98,.22
NC_023312.1,Tomato leaf curl Liwa virus isolate LW1  complete genome,2761,0,0,0,0,0,0,0,0,0,0
NC_023335.1,Rhipicephalus microplus isolate BomiB mitochondrion  complete genome,14905,0,0,837,5.61,786,5.27,1476,9.90,639,4.28
NC_023336.1,Squalidus argentatus mitochondrion  complete genome,16607,0,0,342,2.05,937,5.64,1230,7.40,888,5.34
NC_023337.1,Helianthus annuus mitochondrion  complete genome,300945,0,0,4076,1.35,1156,.38,4420,1.46,344,.11
NC_023338.1,Vaccinium macrocarpon mitochondrion  complete genome,459678,0,0,4154,.90,711,.15,4595,.99,441,.09
NC_023339.1,Eggplant mottled crinkle virus  complete genome,4767,0,0,0,0,0,0,0,0,0,0
NC_023340.1,Antricola mexicanus mitochondrion  complete genome,14415,0,0,814,5.64,148,1.02,961,6.66,147,1.01
NC_023341.1,Necturus beyeri mitochondrion  complete genome,16284,0,0,471,2.89,908,5.57,1284,7.88,813,4.99
NC_023342.1,Proteus anguinus mitochondrion  complete genome,16584,0,0,417,2.51,960,5.78,1230,7.41,813,4.90
NC_023343.1,Dendronephthya castanea mitochondrion  complete genome,18907,0,0,251,1.32,49,.25,251,1.32,0,0
NC_023344.1,Scleronephthya gracillimum mitochondrion  complete genome,18950,0,0,327,1.72,0,0,327,1.72,0,0
NC_023346.1,Lamprotula leai haplotype F mitochondrion  complete genome,16530,0,0,225,1.36,49,.29,274,1.65,49,.29
NC_023347.1,Rattus niobe voucher ABTC:47145 mitochondrion  complete genome,16298,0,0,503,3.08,3411,20.92,3663,22.47,3160,19.38
NC_023348.1,Rhipicephalus australis isolate Boau mitochondrion  complete genome,14891,0,0,1049,7.04,662,4.44,1319,8.85,270,1.81
NC_023349.1,Dermacentor nitens isolate Deni mitochondrion  complete genome,14839,0,0,834,5.62,589,3.96,1276,8.59,442,2.97
NC_023350.1,Rhipicephalus geigyi isolate Boge mitochondrion  complete genome,14948,0,0,787,5.26,613,4.10,1400,9.36,613,4.10
NC_023351.1,Nectogale elegans mitochondrion  complete genome,17460,0,0,456,2.61,3708,21.23,3939,22.56,3483,19.94
NC_023352.1,Anas falcata mitochondrion  complete genome,16601,0,0,115,.69,617,3.71,732,4.40,617,3.71
NC_023353.1,Mugilogobius abei mitochondrion  complete genome,16483,0,0,178,1.07,796,4.82,968,5.87,790,4.79
NC_023354.1,Undaria pinnatifida mitochondrion  complete genome,37402,0,0,2010,5.37,172,.45,2182,5.83,172,.45
